Adenitis,secondary	7713	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Lymphatic Disorders)
Adenocarcinoma, prostate	7528	GU Prostate cancer	Prostate	Specialist Exams (GU-Urology)--BACK of worksheet*
Adenocarcinoma, respiratory	6819	RESP Respiratory conditions	Resp	Respiratory (Resp. Diseases)*
Adenoidectomy	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Adenoids, hypertrophy	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Adenoma, thyroid, non-toxic	7902	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Adenoma, thyroid, toxic	7901	ENDO Thyroid & parathyroid	Thyroid	Endocrine (Thyroid and Parathyroid Diseases)
Adhesions, pericardial	7003	CARDIO Heart	Heart	Cardiovascular System (Heart)
Adhesions, peritoneal	7301	GI Peritoneal adhesions	GI Adhes	Digestive (Intestines [Large and Small])
Adhesions, pleural thickening	6899-6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Adhesions, pleurodiaphragmic	6899-6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Adjustment disorder, chronic	9440	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Adrenal cortical hypofunction (Addison's disease)	7911	ENDO Endocrine: miscellaneous	Endo	Endocrine (Endocrine Diseases, Misc.)
Adrenal failure, insufficiency	7999-7911	ENDO Endocrine: miscellaneous	Endo	Endocrine (Endocrine Diseases, Misc.)
Adult situational reaction	9410	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Agoraphobia (panic attacks, panic disorder)	9412	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Agranulocytosis, acquired 	7702	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Airway disease, reactive	6699-6602	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
AL amyloidosis (primary amyloidosis)	7717	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Albuminuria	7599-7502	GU Kidney	Kidney	Special Examinations (Genitourinary)
Alcohol or drugs, dementia resulting from abuse of	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Allergic or vasomotor rhinitis	6522	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Alopecia areata	7831	DERM Skin	Skin	Skin (Skin Disease)
Alopecia, scarring	7830	DERM Skin/Scars	Skin/Scar	Skin (Scars)
Alveolar soft part sarcoma	6819	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Alzheimer's type dementia (Alzheimer's disease)	9312	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Amblyopia	6099	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Amebiasis	7321	GI Intestines (infectious)	GI Infec	Digestive (Intestines [Large and Small])
Ametropia	6099	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Aminoacidurias (renal tubular disorder)	7532	GU Kidney	Kidney	Specialist Exams (GU-Renal )--BACK of worksheet
Amnesia (amnestic disorders)	9416	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Amputations, Lower extremity	5160 to 5173	MUSC Amputations	Amp	Musculoskeletal (Amputations, residuals of)
Amputations, Upper extremity	5120 to 5156	MUSC Amputations	Amp	Musculoskeletal (Amputations, residuals of)
Amyotrophic lateral sclerosis (Lou Gehrig's disease)	8017	NEURO Amyotrophic lateral sclerosis	ALS	Neurologic (Neurological Disorders, Misc.)
Anal fistula	7335	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Intestines [Large and Small])
Anaphalactic shock (angioneurotic edema)	7118	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Anemia: Sickle cell	7714	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Aneural artery dilation	7199-7112	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Aneurysm, aorta or branches	7110	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Aneurysm, aortic	7110	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Aneurysm, arteriovenous, traumatic	7199-7113	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Aneurysm, cerebral	8099-8009	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Aneurysm, large artery	7111	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Angina pectoris	7099-7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Anginal syndrone	7099-7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Angiomata, multiple, trunk	7819	DERM Skin	Skin	Skin (Skin Disease)
Angioneurotic edema (anaphalactic shock)	7118	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Angiosarcoma	7123	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Ankle replacement (prosthesis)	5056	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Ankle, ankylosis of	5270 to 5274	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Ankle, limitation of motion	5270 to 5274	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Ankylosing spondylitis	5240 (5009)	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Ankylosis of fingers (Dupuytren's contractures)	5216 to 5230	MUSC Hand & finger	Hand	Musculoskeletal (Hand, Thumb &  Fingers)
Ankylosis of Lower Extremity	5250 to 5274	MUSC Foot Conditions including flatfoot (pes planus)/Hip & thigh/Knee & lower leg/Ankle	FootMisc/Hip/Knee/Ankle	Musculoskeletal (Joints)
Ankylosis of Spine (cervical, dorsal (thoracic), lumbar)	5235 to 5243	MUSC Back/Neck	Back/Neck	Musculoskeletal (Spine)
Ankylosis of Upper Extremity	5200 to 5230	MUSC Elbow & forearm/Shoulder & arm/Wrist/Hand & finger	Elbow/Shoulder/Wrist/Hand	Musculoskeletal (Joints)
Ankylostomiasis	7399-7324	GI Intestines (infectious)	GI Infec	Digestive (Intestines [Large and Small])
Anopthalmia	6063 to 6066	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Anorectal fistula	7335-7332	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Anorexia (anorexia nervosa)	9520	PSYCH Eating disorders	Eating	Mental Disorders (Eating Disorders)
Anosmia	6275	ENT Loss of sense of smell & taste	Smell	Organs of Sense (Sense of Smell and Taste)
Anterior poliomyelitis	8011	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Anteroseptal infarction	7006	CARDIO Heart	Heart	Cardiovascular System (Heart)
Anthracosis	6832	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Antisocial personality disorder	9499-9410	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Antritis, chronic	6599-6512	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Anxiety disorder (generalized, n.o.s.)	9413	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Anxiety states	9400 to 9413	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Aortic aneurysm	7110	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Aortic branch aneurysm	7110	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Aortic stenosis	7099-7000	CARDIO Heart	Heart	Cardiovascular System (Heart)
Aphakia	6029	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Aphasia	8210	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Aphonia, complete organic	6519	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Aplastic Anemia	7716	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Apnea, sleep	6847	RESP Sleep apnea	Sleep Ap	Respiratory (Respiratory Diseases)
Appendectomy	7805	DERM Scars	Scar	Skin (Scars)
Appendicitis, PO, cured	7805	DERM Scars	Scar	Skin (Scars)
Arachnoiditis	8099-8009	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Arm, limitation of motion of	5201	MUSC Elbow & forearm/Shoulder & arm	Elbow/Shoulder	Musculoskeletal (Joints)
Arrhythmia, supraventricular	7010	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Arrhythmia, ventricular (sustained)	7011	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Arterial blockage	7199	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Arterial bypass, femoral	7199-7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Arterial hypertension	7101	CARDIO Hypertension	HTN	Cardiovascular System (Hypertension)
Arterial insufficiency	7199-7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Arterial occlusion, peripheral	7199-7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Arteriosclerosis	7199-7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Arteriosclerosis obliterans	7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Arteriosclerosis, cerebral	8046	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Arteriosclerotic heart disease (ASHD)	7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Arteriovenous aneurysm, traumatic	7199-7113	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Artery dilation, aneural	7199-7112	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Arthritis, atrophic (rheumatoid)	5002	MUSC Arthritis: non-degenerative	Arth	Specialist Exams (Rheumatology)--BACK of worksheet
Arthritis, degenerative, hypertrophic or osteoarthritis	5003	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Arthritis, gonorrheal	5004	MUSC Arthritis: non-degenerative	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Arthritis, not otherwise specified	5003	MUSC Arthritis: non-degenerative/use DBQ for specific joint(s)	Arth/DBQ for specific joint(s)	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Arthritis, other types	5009	MUSC Arthritis: non-degenerative	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Arthritis, pneumococcic	5005	MUSC Arthritis: non-degenerative	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Arthritis, psoriatic	5009	MUSC Arthritis: non-degenerative	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Arthritis, rheumatoid (atrophic)	5002	MUSC Arthritis: non-degenerative	Arth	Specialist Exams (Rheumatology)--BACK of worksheet
Arthritis, streptococcic	5008	MUSC Arthritis: non-degenerative	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Arthritis, syphilitic	5007	MUSC Arthritis: non-degenerative	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Arthritis, trauma, due to	5010	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Arthritis, typhoid	5006	MUSC Arthritis: non-degenerative	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Asbestosis	6833	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Ascites (a finding, not a disease)	7399-7312	GI Liver conditions	Liver	Digestive (Liver, Gall Bladder & Pancreas)
ASHD (arterioscerotic heart disease)	7005	CARDIO Heart	Heart	Cardiovascular System (Heart)
Asiatic cholera	6300	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Aspergillosis	6838	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Asteatosis	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Asthma, bronchial	6602	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Astigmatism	6099	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Astragalectomy (ankle surgery)	5274	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Astragalus or os calcis, malunion of	5273	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Astrocytoma	8002	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Asymptomatic scar	7805	DERM Scars	Scar	Skin (Scars)
Atelectasis	6899-6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Atherosclerotic renal disease	7534	GU Kidney	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Athetosis, acquired	8107	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)
Athlete's foot	7813	DERM Skin	Skin	Skin (Skin Disease)
Atrioventricular block	7015	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Atrophy, muscular (progressive)	8023	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Atrophy, ovaries	7620	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Atrophy, testes	7523	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Atypical chest pain	5399-5321	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Auditory acuity, impairment of	6100	AUDIO Hearing loss & tinnitus	Audio	Organs of Sense (Audio)
Auditory canal, disease of	6210	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Auricle, loss of	6207	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Auricular flutter	7099-7010	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Auriculoventricular block	7015	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Avitaminosis	6313	NUTRI Nutritional deficiencies	Nutri	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Bacillary dysentery	7322	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Back, conditions of the	5235 to 5243	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Back, derangement	5235 to 5243	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Bacterial endocarditis	7001	CARDIO Heart	Heart	Cardiovascular System (Heart)
Bacterial rhinitis	6523	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Baker's cyst (synovitis)	5020	MUSC Knee & lower leg	Knee	Musculoskeletal (Bone Disease/Fractures)
Bartholin cyst	7624	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Bartonellosis	6306	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Bartter's syndrome	7532	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Basal cell carcinoma	7818	DERM Skin	Skin	Skin (Skin Disease)
Basal cell epithelioma	7899-7818	DERM Skin	Skin	Skin (Skin Disease)
Bed sores	7801/7804/7820	DERM Skin	Skin	Skin (Skin Disease)
Bell's palsy	8207	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Benign neoplasms of the brain	8003	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Benign neoplasms of the breast	7631	GYN Breast Conditions and Disorders	BREAST	Special Examinations (Gynecological/Breasts)
Benign neoplasms of the hard and soft tissue	9917	DENTAL Oral and Dental Conditions Including Mouth, Lips and Tongue (Other than TMD Conditions) 	DENTAL	Special Examinations (Dental and Oral Examination)
Benign neoplasms of the respiratory system	6820	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Benign neoplasms, genitourinary system	7529	GU - use DBQ for specific location (kidney, male reproductive system and urinary tract)	Variable	Special Examinations (Genitourinary)
Benign neoplasms, gynecological system 	7628	GYN Breast conditions and disorders/Gynecological conditions	Breast/GYN	Special Examinations (Gynecological/Breasts)
Benign new growths of the brain	8003	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Benign new growths of the ear	6209	ENT Ear conditions (internal)/DERM Skin/Scars (external)	Ear/Skin/Scar	Organs of Sense (Ear Disease)
Benign new growths of the eye	6015	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Benign new growths of the skin	7819	DERM Skin	Skin	Skin (Skin Disease)
Benign new growths of the spinal cord	8022	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Benign new growths, digestive system (not skin)	7344	GI - use DBQ for specific location (esophageal disorders, gallbladder, pancreas, intestines, liver, stomach & duodenum, rectum/anus etc)	Variable	Digestive (Digestive Conditions, Misc.)
Benign Paroxysmal Positional Vertigo (BPPV)	6204-6205	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Benign prostatic hypertrophy (BPH)	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Beriberi	6314-7020	INFECT Nutritional deficiencies/CARDIO Heart	Nutri/Heart	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Beriberi heart disease	6314-7020	INFECT Nutritional deficiencies/CARDIO Heart	Nutri/Heart	Cardiovascular System (Heart)
Bile ducts, cancer of the	7344	GI Liver conditions: Hepatitis, cirrhosis & other liver conditions	Liver	Digestive (Liver, Gall Bladder & Pancreas)
Bipolar disorder	9432	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Blackwater fever (malaria)	6304	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Bladder cancer, urinary	7528	GU Urinary tract (bladder and urethra)	Ur tract	Specialist Exams (GU-Urology) or (Oncology)--BACK of worksheet
Bladder trouble	7599	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Bladder, calculus in	7513	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Bladder, fistula of	7516	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Bladder, injury of	7517	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Bladder, neurogenic	7542	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Bladder, ruptured	7599-7517	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Blastomycosis	6836	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Blepharitis	6099-6018	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Blepharoconjunctivitis	6018	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Blindness (see visual acuity)	6061 to 6070	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Block, auriculoventricular	7015	CARDIO Heart	Heart	Cardiovascular System (Heart)
Blockage, arterial	7199	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Boeck's sarcoidosis	6846	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Bone cancer	5012	MUSC - use DBQ for specific joint(s)/bones	use DBQ for specific joint(s)	Specialist Exams (Ortho-Bone Disease) or (Oncology)--BACK of worksheet
Bones, benign new growths of	5015	MUSC - use DBQ for specific joint(s)/bones	use DBQ for specific joint(s)	Musculoskeletal (Bone Disease/Fractures)
Bones, caisson disease of	5011	MUSC - use DBQ for specific joint(s)/bones	use DBQ for specific joint(s)	Musculoskeletal (Bone Disease/Fractures)
Bones, malignant new growths of	5012	MUSC - use DBQ for specific joint(s)/bones	use DBQ for specific joint(s)	Specialist Exams (Ortho-Bone Disease) or (Oncology)--BACK of worksheet
Bones, new growths of, benign	5015	MUSC - use DBQ for specific joint(s)/bones	use DBQ for specific joint(s)	Musculoskeletal (Bone Disease/Fractures)
Bones, new growths of, malignant	5012	MUSC - use DBQ for specific joint(s)/bones	use DBQ for specific joint(s)	Specialist Exams (Ortho-Bone Disease) or (Oncology)--BACK of worksheet
Bones, tuberculosis of, active or inactive	5001	INFECT Tuberculosis (includes nonpulmonary tuberculosis)	TB	Musculoskeletal (Bone Disease/Fractures)
Bowel condition	7319	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Bowel, irritable (IBS)	7319	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
BPH (Benign prostatic hypertrophy)	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Brain & central nervous system, tumors of the	8002 to 8003	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain cancer	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology) or (Oncology)--BACK of worksheet
Brain embolism	8007	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain hemorrhage	8009	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain syndrome assoc. with alcoholism	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome assoc. with cerebral arteriosclerosis	9305	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome assoc. with circulatory disturbance	9305	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome assoc. with CNS syphilis	9301	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome assoc. with convulsive disorder	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome assoc. with intracranial infection	9301	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome assoc. with intracranial neoplasm	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome assoc. with metabolic disturbance	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome, acute	9300	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome, assoc. with brain trauma	9304	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome, chronic (unknown etiology)	9310	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain syndrome, unknown etiology	9310	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Brain trauma, residuals of	8045	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain trauma, residuals with headaches only	8045-9304	NEURO Headaches/Central nervous system	HA/CNS	Neurologic (Neurological Disorders, Misc.)
Brain tumor, benign	8003	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain tumor, malignant	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology) or (Oncology)--BACK of worksheet
Brain tumor, metastatic	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology) or (Oncology)--BACK of worksheet
Brain, abscess of	8020	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain, benign new growths of	8003	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain, disease due to trauma	8045	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain, malignant new growths of	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology) or (Oncology)--BACK of worksheet
Brain, new growths of, benign	8003	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain, new growths of, malignant	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology) or (Oncology)--BACK of worksheet
Brain, thrombosis of	8008	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain, vessels, embolism of	8007	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain, vessels, hemorrhage from	8009	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Brain, vessels, thrombosis of	8008	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Breakbone fever (dengue fever)	6399-6320	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Breast cancer	7630	GYN Breast conditions and disorders	Breast	Special Exams (Gyn/Breasts) or Specialist Exams (Oncology)--BACK
Breast injury (male)	5302	MUSC Muscle injuries/GYN Breast conditions and disorders (can be applied to both female/male depending on condition)	Muscle/Breast	Musculoskeletal (Muscles)
Breast, malignant neoplasm of the	7627	GYN Breast conditions and disorders	Breast	Special Exams (Gyn/Breasts) or Specialist Exams (Oncology)--BACK
